Symbol	Name	LastSale	MarketCap	IPOyear	Sector	Industry	Exchange	Currency
ADI	Analog Devices, Inc.	81.68	$25.26B	NA	Technology	Semiconductors	NASDAQ	USD
ADMA	ADMA Biologics Inc	4.75	$61.21M	NA	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	NASDAQ	USD
ADMP	Adamis Pharmaceuticals Corporation	3.25	$70.15M	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
ADMS	Adamas Pharmaceuticals, Inc.	17.2	$378.1M	2014	Health Care	Major Pharmaceuticals	NASDAQ	USD
ADP	Automatic Data Processing, Inc.	103	$46.24B	NA	Technology	EDP Services	NASDAQ	USD
ADRA	BLDRS Asia 50 ADR Index Fund	29.745	$20.82M	NA	NA	NA	NASDAQ	USD
ADRD	BLDRS Developed Markets 100 ADR Index Fund	20.72	$59.05M	NA	NA	NA	NASDAQ	USD
ADRE	BLDRS Emerging Markets 50 ADR Index Fund	36.2422	$132.28M	NA	NA	NA	NASDAQ	USD
ADRO	Aduro Biotech, Inc.	11.35	$762.52M	2015	Health Care	Major Pharmaceuticals	NASDAQ	USD
ADRU	BLDRS Europe 100 ADR Index Fund	19.9901	$12.99M	NA	NA	NA	NASDAQ	USD
ADSK	Autodesk, Inc.	87.55	$19.48B	NA	Technology	Computer Software: Prepackaged Software	NASDAQ	USD
ADTN	ADTRAN, Inc.	21.65	$1.05B	1994	Public Utilities	Telecommunications Equipment	NASDAQ	USD
ADUS	Addus HomeCare Corporation	33.9	$388.61M	2009	Health Care	Medical/Nursing Services	NASDAQ	USD
ADVM	Adverum Biotechnologies, Inc.	2.65	$110.55M	2014	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	NASDAQ	USD
ADXS	Advaxis, Inc.	8.46	$339.43M	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
ADXSW	Advaxis, Inc.	4.919	NA	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
AEGN	Aegion Corp	22.48	$763.48M	NA	Basic Industries	Water Supply	NASDAQ	USD
AEHR	Aehr Test Systems	4.75	$79.06M	1997	Capital Goods	Electrical Products	NASDAQ	USD
AEIS	Advanced Energy Industries, Inc.	62.38	$2.48B	1995	Capital Goods	Industrial Machinery/Components	NASDAQ	USD
AEMD	Aethlon Medical, Inc.	3.78	$30.1M	NA	Capital Goods	Biotechnology: Laboratory Analytical Instruments	NASDAQ	USD
AERI	Aerie Pharmaceuticals, Inc.	44.55	$1.49B	2013	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	NASDAQ	USD
AETI	American Electric Technologies, Inc.	1.95	$16.26M	NA	Energy	Industrial Machinery/Components	NASDAQ	USD
AEY	ADDvantage Technologies Group, Inc.	1.78	$18.04M	NA	Consumer Services	Office Equipment/Supplies/Services	NASDAQ	USD
AEZS	AEterna Zentaris Inc.	3	$38.75M	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
AFAM	Almost Family Inc	49.5	$515.41M	NA	Health Care	Medical/Nursing Services	NASDAQ	USD
AFH	Atlas Financial Holdings, Inc.	13.55	$162.92M	2013	Finance	Property-Casualty Insurers	NASDAQ	USD
AFMD	Affimed N.V.	2	$86.52M	2014	Health Care	Major Pharmaceuticals	NASDAQ	USD
AFSI	AmTrust Financial Services, Inc.	27.66	$4.71B	NA	Finance	Property-Casualty Insurers	NASDAQ	USD
AGEN	Agenus Inc.	3.845	$335M	2000	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	NASDAQ	USD
AGFS	AgroFresh Solutions, Inc.	2.84	$141.78M	2014	Finance	Business Services	NASDAQ	USD
AGFSW	AgroFresh Solutions, Inc.	0.11	NA	2014	Finance	Business Services	NASDAQ	USD
AGII	Argo Group International Holdings, Ltd.	67.85	$2.04B	NA	Finance	Specialty Insurers	NASDAQ	USD
AGIIL	Argo Group International Holdings, Ltd.	25.55	NA	NA	Finance	Specialty Insurers	NASDAQ	USD
AGIO	Agios Pharmaceuticals, Inc.	47.82	$2.02B	2013	Health Care	Major Pharmaceuticals	NASDAQ	USD
AGLE	Aeglea BioTherapeutics, Inc.	5.83	$78.3M	2016	Health Care	Major Pharmaceuticals	NASDAQ	USD
AGNC	AGNC Investment Corp.	19.54	$6.47B	2008	Consumer Services	Real Estate Investment Trusts	NASDAQ	USD
AGNCB	AGNC Investment Corp.	25.685	$8.9B	NA	Consumer Services	Real Estate Investment Trusts	NASDAQ	USD
AGNCP	AGNC Investment Corp.	25.62	NA	NA	Consumer Services	Real Estate Investment Trusts	NASDAQ	USD
AGND	WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund	43.8501	$17.54M	NA	NA	NA	NASDAQ	USD
AGRX	Agile Therapeutics, Inc.	2.24	$64.42M	2014	Health Care	Major Pharmaceuticals	NASDAQ	USD
AGTC	Applied Genetic Technologies Corporation	7.25	$131.11M	2014	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	NASDAQ	USD
AGYS	Agilysys, Inc.	9.27	$215.33M	NA	Technology	EDP Services	NASDAQ	USD
AGZD	WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond F	48.08	$24.04M	NA	NA	NA	NASDAQ	USD
AHGP	Alliance Holdings GP, L.P.	29.43	$1.76B	2006	Energy	Coal Mining	NASDAQ	USD
AHPA	Avista Healthcare Public Acquisition Corp.	9.91	$382.77M	2016	Finance	Business Services	NASDAQ	USD
AHPAU	Avista Healthcare Public Acquisition Corp.	10.39	NA	2016	Finance	Business Services	NASDAQ	USD
AHPAW	Avista Healthcare Public Acquisition Corp.	0.5	NA	2016	Finance	Business Services	NASDAQ	USD
AHPI	Allied Healthcare Products, Inc.	2.05	$8.23M	1992	Health Care	Industrial Specialties	NASDAQ	USD
AIA	iShares Asia 50 ETF	51.15	$347.82M	NA	NA	NA	NASDAQ	USD
AIMC	Altra Industrial Motion Corp.	39.25	$1.02B	2006	Capital Goods	Industrial Machinery/Components	NASDAQ	USD
AIMT	Aimmune Therapeutics, Inc.	19.63	$831.97M	2015	Health Care	Major Pharmaceuticals	NASDAQ	USD
AINV	Apollo Investment Corporation	6.32	$1.39B	2004	NA	NA	NASDAQ	USD
AIQ	Alliance HealthCare Services, Inc.	10.4	$111.68M	2001	Health Care	Medical Specialities	NASDAQ	USD
AIRG	Airgain, Inc.	13.31	$123.45M	2016	Technology	Radio And Television Broadcasting And Communications Equipment	NASDAQ	USD
AIRM	Air Methods Corporation	38.1	$1.39B	NA	Transportation	Transportation Services	NASDAQ	USD
AIRR	First Trust RBA American Industrial Renaissance ETF	24.24	$201.19M	NA	NA	NA	NASDAQ	USD
AIRT	Air T, Inc.	22	$44.94M	NA	Transportation	Air Freight/Delivery Services	NASDAQ	USD
AKAM	Akamai Technologies, Inc.	62.87	$10.9B	1999	Miscellaneous	Business Services	NASDAQ	USD
AKAO	Achaogen, Inc.	23.65	$826.01M	2014	Health Care	Major Pharmaceuticals	NASDAQ	USD
AKBA	Akebia Therapeutics, Inc.	9.94	$380.95M	2014	Health Care	Major Pharmaceuticals	NASDAQ	USD
AKER	Akers Biosciences Inc	1.25	$9.05M	2014	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances	NASDAQ	USD
AKRX	Akorn, Inc.	21.28	$2.67B	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
AKTX	Akari Therapeutics Plc	6.41	$75.49M	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
ALBO	Albireo Pharma, Inc.	24.46	$153.92M	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
ALCO	Alico, Inc.	25.9	$215.77M	NA	Consumer Non-Durables	Farming/Seeds/Milling	NASDAQ	USD
ALDR	Alder BioPharmaceuticals, Inc.	21.775	$1.1B	2014	Health Care	Major Pharmaceuticals	NASDAQ	USD
ALDX	Aldeyra Therapeutics, Inc.	4.9	$74.11M	2014	Health Care	Major Pharmaceuticals	NASDAQ	USD
ALGN	Align Technology, Inc.	102.89	$8.2B	2001	Health Care	Industrial Specialties	NASDAQ	USD
ALGT	Allegiant Travel Company	173.55	$2.87B	2006	Transportation	Air Freight/Delivery Services	NASDAQ	USD
ALIM	Alimera Sciences, Inc.	1.26	$81.73M	2010	Health Care	Major Pharmaceuticals	NASDAQ	USD
ALJJ	ALJ Regional Holdings, Inc.	3.92	$135.53M	NA	Miscellaneous	Business Services	NASDAQ	USD
ALKS	Alkermes plc	52.98	$8.08B	1991	Health Care	Major Pharmaceuticals	NASDAQ	USD
ALLT	Allot Communications Ltd.	4.89	$163.55M	2006	Technology	Computer Communications Equipment	NASDAQ	USD
ALNY	Alnylam Pharmaceuticals, Inc.	46.62	$4.01B	2004	Health Care	Major Pharmaceuticals	NASDAQ	USD
ALOG	Analogic Corporation	81.7	$1.02B	1972	Capital Goods	Electrical Products	NASDAQ	USD
ALOT	AstroNova, Inc.	13.55	$101.26M	1983	Technology	Computer peripheral equipment	NASDAQ	USD
ALQA	Alliqua BioMedical, Inc.	0.462	$13.71M	NA	Health Care	Medical/Dental Instruments	NASDAQ	USD
ALRM	Alarm.com Holdings, Inc.	28.73	$1.32B	2015	Technology	Computer Software: Prepackaged Software	NASDAQ	USD
ALSK	Alaska Communications Systems Group, Inc.	1.65	$84.74M	1999	Public Utilities	Telecommunications Equipment	NASDAQ	USD
ALTY	Global X SuperDividend Alternatives ETF	15.55	NA	NA	NA	NA	NASDAQ	USD
ALXN	Alexion Pharmaceuticals, Inc.	131.54	$29.55B	1996	Health Care	Major Pharmaceuticals	NASDAQ	USD
AMAG	AMAG Pharmaceuticals, Inc.	23.3	$800.11M	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
AMAT	Applied Materials, Inc.	36.3	$39.22B	1972	Technology	Semiconductors	NASDAQ	USD
AMBA	Ambarella, Inc.	58.73	$1.94B	2012	Technology	Semiconductors	NASDAQ	USD
AMBC	Ambac Financial Group, Inc.	21.96	$990.87M	NA	Finance	Property-Casualty Insurers	NASDAQ	USD
AMBCW	Ambac Financial Group, Inc.	12.25	NA	NA	Finance	Property-Casualty Insurers	NASDAQ	USD
AMCN	AirMedia Group Inc	2.54	$157.98M	2007	Technology	Advertising	NASDAQ	USD
AMCX	AMC Networks Inc.	60.95	$4.29B	NA	Consumer Services	Television Services	NASDAQ	USD
AMD	Advanced Micro Devices, Inc.	14.12	$13.28B	NA	Technology	Semiconductors	NASDAQ	USD
AMDA	Amedica Corporation	0.385	$13.96M	2014	Health Care	Medical/Dental Instruments	NASDAQ	USD
AMED	Amedisys Inc	48.4	$1.62B	NA	Health Care	Medical/Nursing Services	NASDAQ	USD
AMGN	Amgen Inc.	174.56	$128.56B	1983	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	NASDAQ	USD
AMKR	Amkor Technology, Inc.	10.13	$2.41B	1998	Technology	Semiconductors	NASDAQ	USD
AMMA	Alliance MMA, Inc.	3	$27.07M	2016	Consumer Services	Services-Misc. Amusement & Recreation	NASDAQ	USD
AMNB	American National Bankshares, Inc.	36.7	$316.28M	NA	Finance	Major Banks	NASDAQ	USD
AMOT	Allied Motion Technologies, Inc.	24.35	$228.19M	NA	Capital Goods	Electrical Products	NASDAQ	USD
AMOV	America Movil, S.A.B. de C.V.	12.33	$40.42B	NA	Public Utilities	Telecommunications Equipment	NASDAQ	USD
AMPH	Amphastar Pharmaceuticals, Inc.	15.19	$699.1M	2014	Health Care	Major Pharmaceuticals	NASDAQ	USD
AMRB	American River Bankshares	15.03	$100.13M	NA	Finance	Major Banks	NASDAQ	USD
AMRI	Albany Molecular Research, Inc.	15.22	$652.8M	1999	Health Care	Biotechnology: Commercial Physical & Biological Resarch	NASDAQ	USD
AMRK	A-Mark Precious Metals, Inc.	19.22	$135.14M	NA	Basic Industries	Other Specialty Stores	NASDAQ	USD
AMRN	Amarin Corporation plc	3.32	$896.24M	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
AMRS	Amyris, Inc.	0.5221	$137.32M	2010	Basic Industries	Major Chemicals	NASDAQ	USD
AMSC	American Superconductor Corporation	6.35	$90.3M	1991	Consumer Durables	Metal Fabrications	NASDAQ	USD
AMSF	AMERISAFE, Inc.	65.7	$1.26B	2005	Finance	Property-Casualty Insurers	NASDAQ	USD
AMSWA	American Software, Inc.	10.73	$313.79M	NA	Technology	Computer Software: Prepackaged Software	NASDAQ	USD
AMTD	TD Ameritrade Holding Corporation	43.41	$22.91B	1997	Finance	Investment Bankers/Brokers/Service	NASDAQ	USD
AMTX	Aemetis, Inc	1.18	$23.43M	NA	Basic Industries	Major Chemicals	NASDAQ	USD
AMWD	American Woodmark Corporation	80.95	$1.32B	1986	Basic Industries	Forest Products	NASDAQ	USD
AMZN	Amazon.com, Inc.	845.24	$403.32B	1997	Consumer Services	Catalog/Specialty Distribution	NASDAQ	USD
ANAB	AnaptysBio, Inc.	24.6	$612.77M	2017	Health Care	Major Pharmaceuticals	NASDAQ	USD
ANAT	American National Insurance Company	121.54	$3.27B	NA	Finance	Life Insurance	NASDAQ	USD
ANCB	Anchor Bancorp	26.35	$66M	2011	Finance	Banks	NASDAQ	USD
ANCX	Access National Corporation	27.54	$292.92M	NA	Finance	Savings Institutions	NASDAQ	USD
ANDA	Andina Acquisition Corp. II	10.01	$53.15M	2015	Finance	Business Services	NASDAQ	USD
ANDAR	Andina Acquisition Corp. II	0.6499	NA	2015	Finance	Business Services	NASDAQ	USD
ANDAU	Andina Acquisition Corp. II	10.654	NA	2015	Finance	Business Services	NASDAQ	USD
ANDAW	Andina Acquisition Corp. II	0.31	NA	2015	Finance	Business Services	NASDAQ	USD
ANDE	The Andersons, Inc.	39.9	$1.13B	NA	Consumer Services	Farming/Seeds/Milling	NASDAQ	USD
ANGI	Angie&#39;s List, Inc.	5.49	$326.27M	2011	Consumer Services	Advertising	NASDAQ	USD
ANGO	AngioDynamics, Inc.	16.54	$614.41M	2004	Health Care	Medical/Dental Instruments	NASDAQ	USD
ANIK	Anika Therapeutics Inc.	49.75	$727.69M	NA	Health Care	Medical/Dental Instruments	NASDAQ	USD
ANIP	ANI Pharmaceuticals, Inc.	59.07	$684.7M	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
ANSS	ANSYS, Inc.	104.5	$9.04B	1996	Technology	Computer Software: Prepackaged Software	NASDAQ	USD
ANTH	Anthera Pharmaceuticals, Inc.	0.6943	$29.13M	2010	Health Care	Major Pharmaceuticals	NASDAQ	USD
ANY	Sphere 3D Corp.	0.32	$22.01M	NA	Technology	EDP Services	NASDAQ	USD
AOBC	American Outdoor Brands Corporation	19.45	$1.1B	NA	Capital Goods	Ordnance And Accessories	NASDAQ	USD
AOSL	Alpha and Omega Semiconductor Limited	20.66	$487.7M	2010	Technology	Semiconductors	NASDAQ	USD
APDN	Applied DNA Sciences Inc	1.8	$47.43M	NA	Consumer Services	Other Consumer Services	NASDAQ	USD
APDNW	Applied DNA Sciences Inc	0.435	NA	NA	Consumer Services	Other Consumer Services	NASDAQ	USD
APEI	American Public Education, Inc.	24.3	$391.13M	2007	Consumer Services	Other Consumer Services	NASDAQ	USD
APEN	Apollo Endosurgery, Inc.	10.05	$107.54M	NA	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	NASDAQ	USD
APLP	Archrock Partners, L.P.	17.47	$1.14B	NA	Public Utilities	Natural Gas Distribution	NASDAQ	USD
APOG	Apogee Enterprises, Inc.	58.03	$1.66B	NA	Capital Goods	Auto Parts:O.E.M.	NASDAQ	USD
APOP	Cellect Biotechnology Ltd.	6.14	$33.03M	2016	NA	NA	NASDAQ	USD
APOPW	Cellect Biotechnology Ltd.	1.1097	NA	2016	NA	NA	NASDAQ	USD
APPF	AppFolio, Inc.	23.8	$801.98M	2015	Technology	Computer Software: Prepackaged Software	NASDAQ	USD
APPS	Digital Turbine, Inc.	0.82	$54.64M	NA	Miscellaneous	Multi-Sector Companies	NASDAQ	USD
APRI	Apricus Biosciences, Inc.	3.0684	$23.73M	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
APTI	Apptio, Inc.	13.54	$519.72M	2016	Technology	Computer Software: Prepackaged Software	NASDAQ	USD
APTO	Aptose Biosciences, Inc.	1.11	$18.65M	NA	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	NASDAQ	USD
APVO	Aptevo Therapeutics Inc.	1.96	$39.69M	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
APWC	Asia Pacific Wire & Cable Corporation Limited	2.7738	$38.33M	NA	Basic Industries	Telecommunications Equipment	NASDAQ	USD
AQB	AquaBounty Technologies, Inc.	13.9	$123.5M	NA	NA	NA	NASDAQ	USD
AQMS	Aqua Metals, Inc.	16.71	$314.44M	2015	Basic Industries	Metal Fabrications	NASDAQ	USD
AQXP	Aquinox Pharmaceuticals, Inc.	16.96	$397.26M	2014	Health Care	Major Pharmaceuticals	NASDAQ	USD
ARAY	Accuray Incorporated	5.45	$451.79M	2007	Health Care	Medical/Dental Instruments	NASDAQ	USD
ARCB	ArcBest Corporation	29.5	$755.86M	NA	Transportation	Trucking Freight/Courier Services	NASDAQ	USD
ARCC	Ares Capital Corporation	17.79	$7.58B	2004	NA	NA	NASDAQ	USD
ARCI	Appliance Recycling Centers of America, Inc.	1.1	$7.32M	NA	Consumer Services	Home Furnishings	NASDAQ	USD
ARCW	ARC Group Worldwide, Inc.	4.35	$81.97M	NA	Capital Goods	Metal Fabrications	NASDAQ	USD
ARDM	Aradigm Corporation	1.91	$28.56M	1996	Health Care	Biotechnology: Electromedical & Electrotherapeutic Apparatus	NASDAQ	USD
ARDX	Ardelyx, Inc.	13.5	$638.92M	2014	Health Care	Major Pharmaceuticals	NASDAQ	USD
AREX	Approach Resources Inc.	3.03	$245.84M	2007	Energy	Oil & Gas Production	NASDAQ	USD
ARGS	Argos Therapeutics, Inc.	1.225	$50.53M	2014	Health Care	Major Pharmaceuticals	NASDAQ	USD
ARII	American Railcar Industries, Inc.	48.6	$940.99M	2006	Capital Goods	Railroads	NASDAQ	USD
ARIS	ARI Network Services, Inc.	5.17	$90.27M	1991	Technology	Computer Software: Programming, Data Processing	NASDAQ	USD
ARKR	Ark Restaurants Corp.	25.6	$87.5M	NA	Consumer Services	Restaurants	NASDAQ	USD
ARLP	Alliance Resource Partners, L.P.	23.5	$1.75B	1999	Energy	Coal Mining	NASDAQ	USD
ARLZ	Aralez Pharmaceuticals Inc.	4.14	$264.8M	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
ARNA	Arena Pharmaceuticals, Inc.	1.47	$357.8M	2000	Health Care	Major Pharmaceuticals	NASDAQ	USD
AROW	Arrow Financial Corporation	35.7	$482.03M	NA	Finance	Major Banks	NASDAQ	USD
ARQL	ArQule, Inc.	1.26	$89.61M	1996	Health Care	Major Pharmaceuticals	NASDAQ	USD
ARRS	ARRIS International plc	25.75	$4.88B	NA	Technology	Radio And Television Broadcasting And Communications Equipment	NASDAQ	USD
ARRY	Array BioPharma Inc.	10.56	$1.78B	2000	Health Care	Major Pharmaceuticals	NASDAQ	USD
ARTNA	Artesian Resources Corporation	32.71	$298.16M	NA	Public Utilities	Water Supply	NASDAQ	USD
ARTW	Art&#39;s-Way Manufacturing Co., Inc.	3.9	$16.03M	NA	Capital Goods	Industrial Machinery/Components	NASDAQ	USD
ARTX	Arotech Corporation	3.75	$99.14M	1994	Miscellaneous	Industrial Machinery/Components	NASDAQ	USD
ARWR	Arrowhead Pharmaceuticals, Inc.	2.15	$160.32M	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
ASBB	ASB Bancorp, Inc.	32.5	$123.09M	2011	Finance	Savings Institutions	NASDAQ	USD
ASCMA	Ascent Capital Group, Inc.	16.3	$200.84M	NA	Consumer Services	Other Consumer Services	NASDAQ	USD
ASET	FlexShares Real Assets Allocation Index Fund	26.3489	$1.98M	NA	NA	NA	NASDAQ	USD
ASFI	Asta Funding, Inc.	9.2	$109.26M	1995	Finance	Finance Companies	NASDAQ	USD
ASMB	Assembly Biosciences, Inc.	21.06	$362.77M	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
ASML	ASML Holding N.V.	122.53	$52.68B	1995	Technology	Industrial Machinery/Components	NASDAQ	USD
ASNA	Ascena Retail Group, Inc.	4.84	$942.66M	NA	Consumer Services	Clothing/Shoe/Accessory Stores	NASDAQ	USD
ASND	Ascendis Pharma A/S	28.86	$727.55M	2015	Health Care	Major Pharmaceuticals	NASDAQ	USD
ASPS	Altisource Portfolio Solutions S.A.	22.25	$417.71M	NA	Consumer Services	Other Consumer Services	NASDAQ	USD
ASRV	AmeriServ Financial Inc.	3.85	$72.78M	NA	Finance	Major Banks	NASDAQ	USD
ASRVP	AmeriServ Financial Inc.	26.47	NA	NA	Finance	Major Banks	NASDAQ	USD
ASTC	Astrotech Corporation	1.52	$31.28M	NA	Capital Goods	Military/Government/Technical	NASDAQ	USD
ASTE	Astec Industries, Inc.	63.78	$1.47B	1986	Capital Goods	Construction/Ag Equipment/Trucks	NASDAQ	USD
ASUR	Asure Software Inc	11.48	$99.07M	NA	Technology	EDP Services	NASDAQ	USD
ASYS	Amtech Systems, Inc.	6.48	$85.4M	NA	Technology	Industrial Machinery/Components	NASDAQ	USD
ATAI	ATA Inc.	3.83	$87.81M	2008	Consumer Services	Other Consumer Services	NASDAQ	USD
ATAX	America First Multifamily Investors, L.P.	5.75	$346.45M	NA	Finance	Finance: Consumer Services	NASDAQ	USD
ATEC	Alphatec Holdings, Inc.	3.55	$32.02M	2006	Health Care	Medical/Dental Instruments	NASDAQ	USD
ATHN	athenahealth, Inc.	114.7	$4.53B	2007	Miscellaneous	Business Services	NASDAQ	USD
ATHX	Athersys, Inc.	1.18	$128.11M	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
