Symbol	Name	LastSale	MarketCap	IPOyear	Sector	Industry	Exchange	Currency
AFSI-PC	AmTrust Financial Services, Inc.	26.04	NA	NA	NA	NA	NYSE	USD
AFSI-PD	AmTrust Financial Services, Inc.	26.0372	NA	NA	NA	NA	NYSE	USD
AFSI-PE	AmTrust Financial Services, Inc.	26.39	NA	NA	NA	NA	NYSE	USD
AFSI-PF	AmTrust Financial Services, Inc.	25.0468	NA	NA	NA	NA	NYSE	USD
AFSS	AmTrust Financial Services, Inc.	26.2252	NA	2015	Finance	Property-Casualty Insurers	NYSE	USD
AFST	AmTrust Financial Services, Inc.	26.46	NA	2015	Finance	Property-Casualty Insurers	NYSE	USD
AFT	Apollo Senior Floating Rate Fund Inc.	17.8	$277.2M	2011	NA	NA	NYSE	USD
AFW	American Financial Group, Inc.	25.51	NA	NA	Finance	Property-Casualty Insurers	NYSE	USD
AG	First Majestic Silver Corp.	9.56	$1.57B	NA	Basic Industries	Precious Metals	NYSE	USD
AGC	Advent Claymore Convertible Securities and Income Fund II	6.24	$200.91M	2007	NA	NA	NYSE	USD
AGCO	AGCO Corporation	61.73	$4.95B	NA	Capital Goods	Industrial Machinery/Components	NYSE	USD
AGD	Alpine Global Dynamic Dividend Fund	9.58	$120.22M	2006	NA	NA	NYSE	USD
AGI	Alamos Gold Inc.	8.03	$2.4B	2015	Basic Industries	Precious Metals	NYSE	USD
AGM	Federal Agricultural Mortgage Corporation	58.67	$615.07M	NA	Finance	Finance Companies	NYSE	USD
AGM-PA	Federal Agricultural Mortgage Corporation	25.48	NA	NA	NA	NA	NYSE	USD
AGM-PB	Federal Agricultural Mortgage Corporation	26.75	NA	NA	NA	NA	NYSE	USD
AGM-PC	Federal Agricultural Mortgage Corporation	26.2539	NA	NA	NA	NA	NYSE	USD
AGM.A	Federal Agricultural Mortgage Corporation	NA	NA	NA	NA	NA	NYSE	USD
AGN	Allergan plc.	245.37	$92B	2013	Health Care	Major Pharmaceuticals	NYSE	USD
AGN-PA	Allergan plc.	857.8	NA	NA	NA	NA	NYSE	USD
AGO	Assured Guaranty Ltd.	42.38	$5.53B	2004	Finance	Property-Casualty Insurers	NYSE	USD
AGO-PB	Assured Guaranty Ltd.	25.72	NA	NA	NA	NA	NYSE	USD
AGO-PE	Assured Guaranty Ltd.	25.46	NA	NA	NA	NA	NYSE	USD
AGO-PF	Assured Guaranty Ltd.	24.68	NA	NA	NA	NA	NYSE	USD
AGR	Avangrid, Inc.	43.49	$13.44B	2015	Public Utilities	Electric Utilities: Central	NYSE	USD
AGRO	Adecoagro S.A.	11.9	$1.45B	2011	Consumer Non-Durables	Farming/Seeds/Milling	NYSE	USD
AGU	Agrium Inc.	99.37	$13.73B	NA	Basic Industries	Agricultural Chemicals	NYSE	USD
AGX	Argan, Inc.	69.9	$1.07B	NA	Basic Industries	Engineering & Construction	NYSE	USD
AHC	A.H. Belo Corporation	6.4	$138.73M	NA	Consumer Services	Newspapers/Magazines	NYSE	USD
AHH	Armada Hoffler Properties, Inc.	14.09	$528.25M	2013	Finance	Real Estate	NYSE	USD
AHL	Aspen Insurance Holdings Limited	56.25	$3.36B	2003	Finance	Property-Casualty Insurers	NYSE	USD
AHL-PB	Aspen Insurance Holdings Limited	25.7377	NA	NA	NA	NA	NYSE	USD
AHL-PC	Aspen Insurance Holdings Limited	27.12	NA	NA	NA	NA	NYSE	USD
AHL-PD	Aspen Insurance Holdings Limited	23.75	NA	NA	NA	NA	NYSE	USD
AHP	Ashford Hospitality Prime, Inc.	13.13	$340.98M	2013	Consumer Services	Real Estate Investment Trusts	NYSE	USD
AHP-PB	Ashford Hospitality Prime, Inc.	21.65	NA	NA	NA	NA	NYSE	USD
AHT	Ashford Hospitality Trust Inc	6.41	$616.51M	2003	Consumer Services	Real Estate Investment Trusts	NYSE	USD
AHT-PA	Ashford Hospitality Trust Inc	25.39	NA	NA	NA	NA	NYSE	USD
AHT-PD	Ashford Hospitality Trust Inc	25.3881	NA	NA	NA	NA	NYSE	USD
AHT-PF	Ashford Hospitality Trust Inc	24.77	NA	NA	NA	NA	NYSE	USD
AHT-PG	Ashford Hospitality Trust Inc	24.0689	NA	NA	NA	NA	NYSE	USD
AI	Arlington Asset Investment Corp	14.88	$351.59M	NA	Finance	Finance/Investors Services	NYSE	USD
AIB	Apollo Investment Corporation	25.6401	NA	NA	NA	NA	NYSE	USD
AIC	Arlington Asset Investment Corp	23.63	NA	2015	Finance	Finance/Investors Services	NYSE	USD
AIF	Apollo Tactical Income Fund Inc.	15.94	$230.56M	2013	NA	NA	NYSE	USD
AIG	American International Group, Inc.	63.63	$62.16B	NA	Finance	Property-Casualty Insurers	NYSE	USD
AIG.WS	American International Group, Inc.	NA	NA	NA	NA	NA	NYSE	USD
AIN	Albany International Corporation	47.35	$1.52B	NA	Basic Industries	Textiles	NYSE	USD
AIR	AAR Corp.	33.68	$1.16B	NA	Capital Goods	Aerospace	NYSE	USD
AIT	Applied Industrial Technologies, Inc.	62.95	$2.45B	NA	Consumer Durables	Industrial Specialties	NYSE	USD
AIV	Apartment Investment and Management Company	46.09	$7.23B	1994	Consumer Services	Real Estate Investment Trusts	NYSE	USD
AIV-PA	Apartment Investment and Management Company	26.8018	NA	NA	NA	NA	NYSE	USD
AIW	Arlington Asset Investment Corp	24.16	NA	NA	Finance	Finance/Investors Services	NYSE	USD
AIY	Apollo Investment Corporation	25.96	NA	2013	NA	NA	NYSE	USD
AIZ	Assurant, Inc.	98.76	$5.49B	2004	Finance	Accident &Health Insurance	NYSE	USD
AJG	Arthur J. Gallagher & Co.	56.86	$10.16B	NA	Finance	Specialty Insurers	NYSE	USD
AJRD	Aerojet Rocketdyne Holdings, Inc. 	19.25	$1.43B	NA	Capital Goods	Military/Government/Technical	NYSE	USD
AJX	Great Ajax Corp.	13.28	$248.92M	2015	Consumer Services	Real Estate Investment Trusts	NYSE	USD
AKO.A	Embotelladora Andina S.A.	NA	NA	NA	NA	NA	NYSE	USD
AKO.B	Embotelladora Andina S.A.	NA	NA	NA	NA	NA	NYSE	USD
AKP	Alliance California Municipal Income Fund Inc	13.42	$114.8M	2002	NA	NA	NYSE	USD
AKR	Acadia Realty Trust	32.62	$2.73B	NA	Consumer Services	Real Estate Investment Trusts	NYSE	USD
AKS	AK Steel Holding Corporation	8.02	$2.52B	NA	Basic Industries	Steel/Iron Ore	NYSE	USD
AL	Air Lease Corporation	38.11	$3.92B	2011	Technology	Diversified Commercial Services	NYSE	USD
ALB	Albemarle Corporation	92.93	$10.45B	NA	Basic Industries	Major Chemicals	NYSE	USD
ALDW	Alon USA Partners, LP	9.59	$599.57M	2012	Energy	Integrated oil Companies	NYSE	USD
ALE	Allete, Inc.	67.13	$3.36B	NA	Public Utilities	Power Generation	NYSE	USD
ALEX	Alexander & Baldwin Holdings, Inc.	45.63	$2.24B	NA	Finance	Real Estate	NYSE	USD
ALG	Alamo Group, Inc.	76.32	$878.49M	NA	Capital Goods	Industrial Machinery/Components	NYSE	USD
ALJ	Alon USA Energy, Inc.	11.65	$834.04M	2005	Energy	Integrated oil Companies	NYSE	USD
ALK	Alaska Air Group, Inc.	97.01	$11.96B	NA	Transportation	Air Freight/Delivery Services	NYSE	USD
ALL	Allstate Corporation (The)	80.91	$29.54B	NA	Finance	Property-Casualty Insurers	NYSE	USD
ALL-PA	Allstate Corporation (The)	25.72	NA	NA	NA	NA	NYSE	USD
ALL-PB	Allstate Corporation (The)	26.93	NA	NA	NA	NA	NYSE	USD
ALL-PC	Allstate Corporation (The)	26.81	NA	NA	NA	NA	NYSE	USD
ALL-PD	Allstate Corporation (The)	27.1044	NA	NA	NA	NA	NYSE	USD
ALL-PE	Allstate Corporation (The)	26.95	NA	NA	NA	NA	NYSE	USD
ALL-PF	Allstate Corporation (The)	26.46	NA	NA	NA	NA	NYSE	USD
ALLE	Allegion plc	73.95	$7.06B	2013	Consumer Services	Diversified Commercial Services	NYSE	USD
ALLY	Ally Financial Inc.	22.77	$10.63B	2014	Finance	Finance: Consumer Services	NYSE	USD
ALLY-PA	Ally Financial Inc.	25.8	NA	NA	NA	NA	NYSE	USD
ALP-PO	Alabama Power Company	28.257	NA	NA	Public Utilities	Electric Utilities: Central	NYSE	USD
ALR	Alere Inc.	39.95	$3.48B	NA	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances	NYSE	USD
ALR-PB	Alere Inc.	330.02	NA	NA	NA	NA	NYSE	USD
ALSN	Allison Transmission Holdings, Inc.	36.79	$6.08B	2012	Capital Goods	Auto Parts:O.E.M.	NYSE	USD
ALV	Autoliv, Inc.	104.61	$9.23B	NA	Capital Goods	Auto Parts:O.E.M.	NYSE	USD
ALX	Alexander&#39;s, Inc.	438.4	$2.24B	NA	Consumer Services	Real Estate Investment Trusts	NYSE	USD
AM	Antero Midstream Partners LP	34.27	$7.5B	2014	Public Utilities	Natural Gas Distribution	NYSE	USD
AMBR	Amber Road, Inc.	7.85	$211.37M	2014	Technology	Computer Software: Prepackaged Software	NYSE	USD
AMC	AMC Entertainment Holdings, Inc.	31.4	$4.1B	2013	Consumer Services	Movies/Entertainment	NYSE	USD
AME	AMTEK, Inc.	54.63	$12.64B	NA	Consumer Durables	Metal Fabrications	NYSE	USD
AMFW	Amec Plc Ord	5.39	$2.12B	2014	Consumer Services	Military/Government/Technical	NYSE	USD
AMG	Affiliated Managers Group, Inc.	168.03	$9.21B	NA	Finance	Investment Managers	NYSE	USD
AMH	American Homes 4 Rent	23.65	$5.64B	2013	Consumer Services	Real Estate Investment Trusts	NYSE	USD
AMH-PA	American Homes 4 Rent	28.2	NA	NA	Consumer Services	Real Estate Investment Trusts	NYSE	USD
AMH-PB	American Homes 4 Rent	28.05	NA	NA	NA	NA	NYSE	USD
AMH-PC	American Homes 4 Rent	27.9	NA	NA	NA	NA	NYSE	USD
AMH-PD	American Homes 4 Rent	25.64	NA	NA	NA	NA	NYSE	USD
AMH-PE	American Homes 4 Rent	25.09	NA	NA	NA	NA	NYSE	USD
AMID	American Midstream Partners, LP	15.7	$511.62M	2011	Public Utilities	Natural Gas Distribution	NYSE	USD
AMN	AMN Healthcare Services Inc	41.8	$1.99B	NA	Technology	Professional Services	NYSE	USD
AMOV	America Movil, S.A.B. de C.V.	12.33	$40.42B	NA	Public Utilities	Telecommunications Equipment	NYSE	USD
AMP	AMERIPRISE FINANCIAL SERVICES, INC.	129.83	$20.1B	NA	Finance	Investment Managers	NYSE	USD
AMRC	Ameresco, Inc.	5	$229.25M	2010	Basic Industries	Engineering & Construction	NYSE	USD
AMT	American Tower Corporation (REIT)	112.89	$48.19B	NA	Consumer Services	Real Estate Investment Trusts	NYSE	USD
AMT-PA	American Tower Corporation (REIT)	106.8101	NA	NA	NA	NA	NYSE	USD
AMT-PB	American Tower Corporation (REIT)	106.7499	NA	NA	NA	NA	NYSE	USD
AMX	America Movil, S.A.B. de C.V.	12.67	$41.53B	NA	Public Utilities	Telecommunications Equipment	NYSE	USD
AN	AutoNation, Inc.	46.83	$4.73B	NA	Consumer Durables	Automotive Aftermarket	NYSE	USD
ANET	Arista Networks, Inc.	120.59	$8.56B	2014	Technology	Computer Communications Equipment	NYSE	USD
ANF	Abercrombie & Fitch Company	11.98	$810.75M	NA	Consumer Services	Clothing/Shoe/Accessory Stores	NYSE	USD
ANFI	Amira Nature Foods Ltd	5.46	$162.92M	2012	Consumer Non-Durables	Packaged Foods	NYSE	USD
ANH	Anworth Mortgage Asset  Corporation	5.41	$517.83M	NA	Consumer Services	Real Estate Investment Trusts	NYSE	USD
ANH-PA	Anworth Mortgage Asset  Corporation	25.64	NA	NA	NA	NA	NYSE	USD
ANH-PB	Anworth Mortgage Asset  Corporation	26.56	NA	NA	NA	NA	NYSE	USD
ANH-PC	Anworth Mortgage Asset  Corporation	24.8	NA	NA	NA	NA	NYSE	USD
ANTM	Anthem, Inc.	163.83	$43.16B	NA	Health Care	Medical Specialities	NYSE	USD
ANTX	Anthem, Inc.	49.62	$13.07B	2015	Health Care	Medical Specialities	NYSE	USD
ANW	Aegean Marine Petroleum Network Inc.	9.8	$386.16M	2006	Energy	Oil Refining/Marketing	NYSE	USD
AOD	Alpine Total Dynamic Dividend Fund	8.2	$882.27M	2007	NA	NA	NYSE	USD
AOI	Alliance One International, Inc.	13.75	$133.85M	NA	Consumer Services	Farming/Seeds/Milling	NYSE	USD
AON	Aon plc	116.56	$30.67B	NA	Finance	Specialty Insurers	NYSE	USD
AOS	Smith (A.O.) Corporation	50.56	$8.76B	NA	Consumer Durables	Consumer Electronics/Appliances	NYSE	USD
AP	Ampco-Pittsburgh Corporation	14.9	$182.83M	NA	Capital Goods	Fluid Controls	NYSE	USD
APA	Apache Corporation	53.41	$20.27B	NA	Energy	Oil & Gas Production	NYSE	USD
APAM	Artisan Partners Asset Management Inc.	29.1	$2.2B	2013	Finance	Investment Managers	NYSE	USD
APB	Asia Pacific Fund, Inc. (The)	10.79	$111.61M	NA	NA	NA	NYSE	USD
APC	Anadarko Petroleum Corporation	64.77	$36.21B	NA	Energy	Oil & Gas Production	NYSE	USD
APD	Air Products and Chemicals, Inc.	140.86	$30.65B	NA	Basic Industries	Major Chemicals	NYSE	USD
APF	Morgan Stanley Asia-Pacific Fund, Inc.	14.98	$207.47M	NA	NA	NA	NYSE	USD
APFH	AdvancePierre Foods Holdings, Inc.	28.36	$2.19B	2016	Consumer Non-Durables	Packaged Foods	NYSE	USD
APH	Amphenol Corporation	70.18	$21.59B	NA	Capital Goods	Electrical Products	NYSE	USD
APLE	Apple Hospitality REIT, Inc.	20.19	$4.51B	2015	Consumer Services	Real Estate Investment Trusts	NYSE	USD
APO	Apollo Global Management, LLC	21.98	$8.85B	2011	Finance	Investment Managers	NYSE	USD
APTS	Preferred Apartment Communities, Inc.	14.17	$375.7M	2011	Consumer Services	Real Estate Investment Trusts	NYSE	USD
APU	AmeriGas Partners, L.P.	47.14	$4.38B	NA	Consumer Services	Other Specialty Stores	NYSE	USD
AQN	Algonquin Power & Utilities Corp.	9.25	$3.45B	2016	Public Utilities	Electric Utilities: Central	NYSE	USD
AR	Antero Resources Corporation	24	$7.53B	2013	Energy	Oil & Gas Production	NYSE	USD
ARA	American Renal Associates Holdings, Inc	22.93	$707.8M	2016	Health Care	Hospital/Nursing Management	NYSE	USD
ARC	ARC Document Solutions, Inc.	4.36	$200.51M	2004	Consumer Services	Professional Services	NYSE	USD
ARCH	Arch Coal, Inc.	71.99	$1.8B	2016	Energy	Coal Mining	NYSE	USD
ARCO	Arcos Dorados Holdings Inc.	5.95	$1.25B	2011	Consumer Services	Restaurants	NYSE	USD
ARCX	Arc Logistic Partners LP	15.2	$293.4M	2013	Energy	Oil Refining/Marketing	NYSE	USD
ARDC	Ares Dynamic Credit Allocation Fund, Inc.	15.91	$365.8M	2012	NA	NA	NYSE	USD
ARE	Alexandria Real Estate Equities, Inc.	120.2	$10.68B	NA	Consumer Services	Real Estate Investment Trusts	NYSE	USD
ARE-PD	Alexandria Real Estate Equities, Inc.	35.08	NA	NA	NA	NA	NYSE	USD
ARE-PE	Alexandria Real Estate Equities, Inc.	25.28	NA	NA	NA	NA	NYSE	USD
ARES	Ares Management L.P.	23.25	$4.92B	2014	Finance	Investment Managers	NYSE	USD
ARES-PA	Ares Management L.P.	26.27	NA	NA	NA	NA	NYSE	USD
ARH-PC	Arch Capital Group Ltd.	25.39	NA	NA	NA	NA	NYSE	USD
ARI	Apollo Commercial Real Estate Finance	17.97	$1.45B	2009	Consumer Services	Real Estate Investment Trusts	NYSE	USD
ARI-PA	Apollo Commercial Real Estate Finance	25.6901	NA	NA	NA	NA	NYSE	USD
ARI-PC	Apollo Commercial Real Estate Finance	25.29	NA	NA	NA	NA	NYSE	USD
ARL	American Realty Investors, Inc.	7.23	$112.17M	NA	Finance	Real Estate	NYSE	USD
ARMK	Aramark	35.81	$8.82B	2013	Consumer Services	Restaurants	NYSE	USD
ARNC	Arconic Inc.	29.32	$12.86B	NA	Capital Goods	Metal Fabrications	NYSE	USD
ARNC-PB	Arconic Inc.	44.51	NA	NA	NA	NA	NYSE	USD
AROC	Archrock, Inc.	13.35	$941.62M	NA	Public Utilities	Natural Gas Distribution	NYSE	USD
ARR	ARMOUR Residential REIT, Inc.	22.41	$822.98M	NA	Consumer Services	Real Estate Investment Trusts	NYSE	USD
ARR-PA	ARMOUR Residential REIT, Inc.	24.32	NA	NA	NA	NA	NYSE	USD
ARR-PB	ARMOUR Residential REIT, Inc.	23.22	NA	NA	NA	NA	NYSE	USD
ARU	Ares Capital Corporation	25.85	NA	NA	NA	NA	NYSE	USD
ARW	Arrow Electronics, Inc.	73.49	$6.54B	NA	Consumer Non-Durables	Electronic Components	NYSE	USD
ASA	ASA Gold and Precious Metals Limited	12.84	$247.68M	NA	NA	NA	NYSE	USD
ASB	Associated Banc-Corp	25.95	$3.94B	NA	Finance	Major Banks	NYSE	USD
ASB-PC	Associated Banc-Corp	25.95	NA	NA	NA	NA	NYSE	USD
ASB-PD	Associated Banc-Corp	23.77	NA	NA	NA	NA	NYSE	USD
ASC	Ardmore Shipping Corporation	6.95	$233.35M	2013	Transportation	Marine Transportation	NYSE	USD
ASG	Liberty All-Star Growth Fund, Inc.	4.57	$113.12M	NA	NA	NA	NYSE	USD
ASGN	On Assignment, Inc.	47.49	$2.51B	1992	Technology	Professional Services	NYSE	USD
ASH	Ashland Global Holdings Inc.	121.87	$7.58B	NA	Consumer Durables	Specialty Chemicals	NYSE	USD
ASIX	AdvanSix Inc.	27.48	$837.67M	2016	Basic Industries	Major Chemicals	NYSE	USD
ASPN	Aspen Aerogels, Inc.	4.01	$93.7M	2014	Consumer Services	RETAIL: Building Materials	NYSE	USD
ASR	Grupo Aeroportuario del Sureste, S.A. de C.V.	156.12	$4.68B	NA	Transportation	Aerospace	NYSE	USD
ASX	Advanced Semiconductor Engineering, Inc.	6.17	$9.84B	NA	Technology	Semiconductors	NYSE	USD
AT	Atlantic Power Corporation	2.35	$269.43M	NA	Energy	Electric Utilities: Central	NYSE	USD
ATEN	A10 Networks, Inc.	9.47	$636.44M	2014	Technology	Computer Communications Equipment	NYSE	USD
ATH	Athene Holding Ltd.	52.08	$11.86B	2016	Finance	Life Insurance	NYSE	USD
ATHM	Autohome Inc.	33.42	$3.78B	2013	Technology	EDP Services	NYSE	USD
ATI	Allegheny Technologies Incorporated	19.26	$2.1B	NA	Basic Industries	Steel/Iron Ore	NYSE	USD
ATKR	Atkore International Group Inc.	25.77	$1.63B	2016	Miscellaneous	Industrial Machinery/Components	NYSE	USD
ATO	Atmos Energy Corporation	78.18	$8.22B	NA	Public Utilities	Oil/Gas Transmission	NYSE	USD
ATR	AptarGroup, Inc.	74.36	$4.66B	NA	Consumer Non-Durables	Plastic Products	NYSE	USD
ATTO	Atento S.A.	8.3	$612.43M	2014	Public Utilities	Telecommunications Equipment	NYSE	USD
ATU	Actuant Corporation	26.65	$1.58B	NA	Technology	Industrial Machinery/Components	NYSE	USD
ATV	Acorn International, Inc.	8.97	$34.32M	2007	Consumer Services	Other Specialty Stores	NYSE	USD
ATW	Atwood Oceanics, Inc.	10.39	$836.08M	NA	Energy	Oil & Gas Production	NYSE	USD
AU	AngloGold Ashanti Limited	11.59	$4.73B	NA	Basic Industries	Precious Metals	NYSE	USD
AUO	AU Optronics Corp	3.96	$3.81B	2002	Technology	Semiconductors	NYSE	USD
AUY	Yamana Gold Inc.	2.79	$2.64B	NA	Basic Industries	Precious Metals	NYSE	USD
AVA	Avista Corporation	39.53	$2.54B	NA	Public Utilities	Power Generation	NYSE	USD
AVAL	Grupo Aval Acciones y Valores S.A.	7.79	$8.68B	2014	Finance	Commercial Banks	NYSE	USD
AVB	AvalonBay Communities, Inc.	183.06	$25.14B	NA	Consumer Services	Real Estate Investment Trusts	NYSE	USD
AVD	American Vanguard Corporation	16.7	$490.31M	NA	Basic Industries	Agricultural Chemicals	NYSE	USD
AVH	Avianca Holdings S.A.	7.71	$960.85M	2013	Transportation	Air Freight/Delivery Services	NYSE	USD
AVK	Advent Claymore Convertible Securities and Income Fund	15.9	$374.94M	2003	NA	NA	NYSE	USD
AVP	Avon Products, Inc.	4.54	$1.99B	NA	Consumer Non-Durables	Package Goods/Cosmetics	NYSE	USD
AVT	Avnet, Inc.	46.41	$5.98B	NA	Consumer Non-Durables	Electronic Components	NYSE	USD
AVX	AVX Corporation	15.95	$2.68B	NA	Capital Goods	Electrical Products	NYSE	USD
AVY	Avery Dennison Corporation	80.25	$7.14B	NA	Consumer Durables	Containers/Packaging	NYSE	USD
AWF	Alliance World Dollar Government Fund II	12.82	$1.11B	1993	NA	NA	NYSE	USD
AWH	Allied World Assurance Company Holdings, AG	52.96	$4.61B	2006	Finance	Property-Casualty Insurers	NYSE	USD
AWI	Armstrong World Industries Inc	40.1	$2.21B	NA	Consumer Non-Durables	Plastic Products	NYSE	USD
AWK	American Water Works	76.3	$13.6B	2008	Public Utilities	Water Supply	NYSE	USD
AWP	Alpine Global Premier Properties Fund	5.6	$478.28M	2007	NA	NA	NYSE	USD
